city_ascii,Defining Parameter,Date,AQI
Americus,Ozone,1992-09-20,40.714285714285715
Americus,Ozone,1992-09-27,27.571428571428573
Americus,Ozone,1992-10-04,38.857142857142854
Americus,Ozone,1992-10-11,35.333333333333336
Americus,Ozone,1992-10-25,72.0
Americus,Ozone,1992-11-01,47.857142857142854
Americus,Ozone,1992-11-08,27.0
Americus,Ozone,1992-11-15,33.0
Americus,Ozone,1992-11-22,29.285714285714285
Americus,Ozone,1992-11-29,24.0
Americus,Ozone,1992-12-06,30.428571428571427
Americus,Ozone,1992-12-13,21.714285714285715
Americus,Ozone,1992-12-20,27.0
Americus,Ozone,1992-12-27,24.714285714285715
Americus,Ozone,1993-01-03,23.428571428571427
Americus,Ozone,1993-01-10,17.142857142857142
Americus,Ozone,1993-01-17,23.857142857142858
Americus,Ozone,1993-01-24,33.0
Americus,Ozone,1993-01-31,35.142857142857146
Americus,Ozone,1993-02-07,36.285714285714285
Americus,Ozone,1993-02-14,36.142857142857146
Americus,Ozone,1993-02-21,35.714285714285715
Americus,Ozone,1993-02-28,36.57142857142857
Americus,Ozone,1993-03-07,46.857142857142854
Americus,Ozone,1993-03-14,60.4
Americus,Ozone,1993-03-21,41.714285714285715
Americus,Ozone,1993-03-28,51.285714285714285
Americus,Ozone,1993-04-04,68.0
Americus,Ozone,1993-04-11,49.42857142857143
Americus,Ozone,1993-04-18,60.714285714285715
Americus,Ozone,1993-04-25,84.0
Americus,Ozone,1993-05-02,69.71428571428571
Americus,Ozone,1993-05-09,87.28571428571429
Americus,Ozone,1993-05-16,70.71428571428571
Americus,Ozone,1993-05-23,85.28571428571429
Americus,Ozone,1993-05-30,54.57142857142857
Americus,Ozone,1993-06-06,68.71428571428571
Americus,Ozone,1993-06-13,85.85714285714286
Americus,Ozone,1993-06-20,64.57142857142857
Americus,Ozone,1993-06-27,43.714285714285715
Americus,Ozone,1993-07-04,62.5
Americus,Ozone,1993-07-11,53.0
Americus,Ozone,1993-07-18,44.714285714285715
Americus,Ozone,1993-07-25,53.57142857142857
Americus,Ozone,1993-08-01,74.71428571428571
Americus,Ozone,1993-08-08,31.857142857142858
Americus,Ozone,1993-08-15,41.0
Americus,Ozone,1993-08-22,69.0
Americus,Ozone,1993-08-29,45.42857142857143
Americus,Ozone,1993-09-05,33.0
Americus,Ozone,1993-09-12,39.142857142857146
Americus,Ozone,1993-09-19,38.57142857142857
Americus,Ozone,1993-09-26,59.57142857142857
Americus,Ozone,1993-10-03,57.333333333333336
Americus,Ozone,1993-10-10,53.857142857142854
Americus,Ozone,1993-10-17,37.0
Americus,Ozone,1993-10-24,33.0
Americus,Ozone,1993-10-31,32.714285714285715
Americus,Ozone,1993-11-07,27.714285714285715
Americus,Ozone,1993-11-14,28.0
Americus,Ozone,1993-11-21,27.285714285714285
Americus,Ozone,1993-11-28,33.285714285714285
Americus,Ozone,1993-12-05,34.0
Americus,Ozone,1993-12-12,29.285714285714285
Americus,Ozone,1993-12-19,26.857142857142858
Americus,Ozone,1993-12-26,24.0
Americus,Ozone,1994-01-02,27.857142857142858
Americus,Ozone,1994-01-09,29.428571428571427
Americus,Ozone,1994-01-16,23.571428571428573
Americus,Ozone,1994-01-23,27.571428571428573
Americus,Ozone,1994-01-30,29.428571428571427
Americus,Ozone,1994-02-06,32.0
Americus,Ozone,1994-02-13,27.428571428571427
Americus,Ozone,1994-02-20,36.57142857142857
Americus,Ozone,1994-02-27,34.857142857142854
Americus,Ozone,1994-03-06,46.0
Americus,Ozone,1994-03-13,60.142857142857146
Americus,Ozone,1994-03-20,53.57142857142857
Americus,Ozone,1994-03-27,37.857142857142854
Americus,Ozone,1994-04-03,58.714285714285715
Americus,Ozone,1994-04-10,50.857142857142854
Americus,Ozone,1994-04-17,41.285714285714285
Americus,Ozone,1994-04-24,58.5
Americus,Ozone,1994-05-01,44.57142857142857
Americus,Ozone,1994-05-08,54.57142857142857
Americus,Ozone,1994-05-15,69.14285714285714
Americus,Ozone,1994-05-22,68.85714285714286
Americus,Ozone,1994-05-29,102.28571428571429
Americus,Ozone,1994-06-05,41.714285714285715
Americus,Ozone,1994-06-12,34.57142857142857
Americus,Ozone,1994-06-19,35.0
Americus,Ozone,1994-06-26,32.57142857142857
Americus,Ozone,1994-07-03,39.142857142857146
Americus,Ozone,1994-07-10,25.714285714285715
Americus,Ozone,1994-07-17,24.714285714285715
Americus,Ozone,1994-07-24,33.714285714285715
Americus,Ozone,1994-07-31,32.714285714285715
Americus,Ozone,1994-08-07,32.42857142857143
Americus,Ozone,1994-08-14,45.142857142857146
Americus,Ozone,1994-08-21,28.285714285714285
Americus,Ozone,1994-08-28,46.42857142857143
Americus,Ozone,1994-09-04,33.42857142857143
Americus,Ozone,1994-09-11,35.714285714285715
Americus,Ozone,1994-09-18,36.857142857142854
Americus,Ozone,1994-09-25,41.285714285714285
Americus,Ozone,1994-10-02,67.14285714285714
Americus,Ozone,1994-10-09,50.857142857142854
Americus,Ozone,1994-10-16,27.0
Americus,Ozone,1994-10-23,36.0
Americus,Ozone,1994-10-30,36.0
Americus,Ozone,1994-11-06,32.57142857142857
Americus,Ozone,1994-11-13,29.714285714285715
Americus,Ozone,1994-11-20,33.857142857142854
Americus,Ozone,1994-11-27,29.857142857142858
Americus,Ozone,1994-12-04,25.571428571428573
Americus,Ozone,1994-12-11,21.428571428571427
Americus,Ozone,1994-12-18,18.0
Americus,Ozone,1994-12-25,24.857142857142858
Americus,Ozone,1995-01-01,25.666666666666668
Americus,Ozone,1997-04-06,53.333333333333336
Americus,Ozone,1997-04-13,57.857142857142854
Americus,Ozone,1997-04-20,73.14285714285714
Americus,Ozone,1997-04-27,61.57142857142857
Americus,Ozone,1997-05-04,49.57142857142857
Americus,Ozone,1997-05-11,80.14285714285714
Americus,Ozone,1997-05-18,74.71428571428571
Americus,Ozone,1997-05-25,55.57142857142857
Americus,Ozone,1997-06-01,35.714285714285715
Americus,Ozone,1997-06-08,40.0
Americus,Ozone,1997-06-15,44.75
Americus,Ozone,1997-06-22,31.166666666666668
Americus,Ozone,1997-06-29,44.0
Americus,Ozone,1997-07-06,49.0
Americus,Ozone,1997-07-13,78.2
Americus,Ozone,1997-07-20,49.285714285714285
Americus,Ozone,1997-07-27,55.42857142857143
Americus,Ozone,1997-08-03,38.57142857142857
Americus,Ozone,1997-08-10,51.142857142857146
